id,value,feed_id,created_at,lat,lon,ele
0FSSXSX60465TKW8HH573NRFBY,Door 1 CLOSED,2991705,2025-01-27 04:12:47 UTC,0.0,0.0,0.0
0FSSY6CTJW9GA1JZD670WJY4QG,Door 1 OPEN,2991705,2025-01-27 04:34:36 UTC,0.0,0.0,0.0
0FSSY6GQRR3R5FYD9DRJW1RTG7,Door 1 CLOSED,2991705,2025-01-27 04:34:49 UTC,0.0,0.0,0.0
0FSSYQ2MEX7T2EAAZX5AHHV093,Door 1 OPEN,2991705,2025-01-27 05:03:45 UTC,0.0,0.0,0.0
0FSSYQ3KVXC2SQBC3WQJ9ESW4N,Door 1 CLOSED,2991705,2025-01-27 05:03:49 UTC,0.0,0.0,0.0
0FSSYQB2P8CCGZTX66NF3CRQ2E,Door 1 OPEN,2991705,2025-01-27 05:04:13 UTC,0.0,0.0,0.0
0FSSYQD0JZ5ST45B5473AYGBF7,Door 1 CLOSED,2991705,2025-01-27 05:04:19 UTC,0.0,0.0,0.0
0FST0F6TXS8244WMQZCW3FXNTY,Door 1 OPEN,2991705,2025-01-27 06:41:51 UTC,0.0,0.0,0.0
0FST0FFBJ4C8WGDH0CQQA2C4H9,Door 1 CLOSED,2991705,2025-01-27 06:42:19 UTC,0.0,0.0,0.0
0FST2NDPK2HBHW5XN7XP9W5XF4,Door 1 OPEN,2991705,2025-01-27 08:44:34 UTC,0.0,0.0,0.0
0FST2NG5ZNVMDS9C4PHZDSSBRT,Door 1 CLOSED,2991705,2025-01-27 08:44:42 UTC,0.0,0.0,0.0
0FST7NYSWQQ4EBQPYWQT4AKTDJ,Door 1 OPEN,2991705,2025-01-27 13:25:07 UTC,0.0,0.0,0.0
0FST7P0H1W1S0YV21GZZZD0449,Door 1 CLOSED,2991705,2025-01-27 13:25:13 UTC,0.0,0.0,0.0
0FST7P581AKCSE1G6FTYPRADV4,Door 1 OPEN,2991705,2025-01-27 13:25:28 UTC,0.0,0.0,0.0
0FST7PB4T7XG0ZHH3DE128AASQ,Door 1 CLOSED,2991705,2025-01-27 13:25:47 UTC,0.0,0.0,0.0
0FSTBE4W8T9FQWBPMV5M7CBQ82,Door 1 OPEN,2991705,2025-01-27 16:55:10 UTC,0.0,0.0,0.0
0FSTBE9Y8GEJE7HX00AC0NMM4W,Door 1 CLOSED,2991705,2025-01-27 16:55:26 UTC,0.0,0.0,0.0
0FSTBEPZN3EBZB85W9S9W1DFWF,Door 1 OPEN,2991705,2025-01-27 16:56:09 UTC,0.0,0.0,0.0
0FSTBESE0P8CFSKWPSQ6P0WY90,Door 1 CLOSED,2991705,2025-01-27 16:56:17 UTC,0.0,0.0,0.0
0FSTD4NEKFVXT546RG67C2PYPM,Door 1 OPEN,2991705,2025-01-27 18:30:26 UTC,0.0,0.0,0.0
0FSTD4PQCB3E42HC2MRWRG6XSF,Door 1 CLOSED,2991705,2025-01-27 18:30:31 UTC,0.0,0.0,0.0
0FSTFDVT4MQSVBVKEZHACW3ASN,Door 1 OPEN,2991705,2025-01-27 20:38:22 UTC,0.0,0.0,0.0
0FSTFE4MPJPNDHKTA1HW7MCYXP,Door 1 CLOSED,2991705,2025-01-27 20:38:51 UTC,0.0,0.0,0.0
0FSTG0WS3XB2QF9ZQ6R0T2ZDVB,Door 1 OPEN,2991705,2025-01-27 21:11:37 UTC,0.0,0.0,0.0
0FSTG101VVAGPS4J31C8HK4FPB,Door 1 CLOSED,2991705,2025-01-27 21:11:48 UTC,0.0,0.0,0.0
0FSTJ1MXVJXHJNTPY744CV0SMR,Door 1 OPEN,2991705,2025-01-27 23:04:47 UTC,0.0,0.0,0.0
0FSTJ1PFGEPVBMJDWSECHCTCTP,Door 1 CLOSED,2991705,2025-01-27 23:04:52 UTC,0.0,0.0,0.0
0FSTKER32PHMXCSASBMXSACT70,Door 1 OPEN,2991705,2025-01-28 00:23:36 UTC,0.0,0.0,0.0
0FSTKERWKDYEK2QRBFHM44ZG6Y,Door 1 CLOSED,2991705,2025-01-28 00:23:39 UTC,0.0,0.0,0.0
0FSTKYZS727H04RAJCJVNMCTAW,Door 1 OPEN,2991705,2025-01-28 00:51:59 UTC,0.0,0.0,0.0
0FSTKZ2TB640B0KTFPS83BS3AF,Door 1 CLOSED,2991705,2025-01-28 00:52:09 UTC,0.0,0.0,0.0
0FSTPTY5AAD2TDFB6590TK6YCJ,Door 1 OPEN,2991705,2025-01-28 03:32:41 UTC,0.0,0.0,0.0
0FSTPTYPJ2F9B9G2KVF4NZ0J97,Door 1 CLOSED,2991705,2025-01-28 03:32:42 UTC,0.0,0.0,0.0
0FSTXXFBH3QPGRHD4NK8RY10W2,Door 1 OPEN,2991705,2025-01-28 10:08:35 UTC,0.0,0.0,0.0
0FSTXXFSDJJ5GQGGZKNZJFGA5Q,Door 1 CLOSED,2991705,2025-01-28 10:08:36 UTC,0.0,0.0,0.0
0FSTY738R176BXXCCR313Q1BB0,Door 1 OPEN,2991705,2025-01-28 10:25:24 UTC,0.0,0.0,0.0
0FSTY74Q8QZ8Q8FZQR790TDPHZ,Door 1 CLOSED,2991705,2025-01-28 10:25:29 UTC,0.0,0.0,0.0
0FSV43NPGXZV43RTRBG4FPTA6C,Door 1 OPEN,2991705,2025-01-28 15:54:57 UTC,0.0,0.0,0.0
0FSV43P542HFSG8QMAHSFSRH33,Door 1 CLOSED,2991705,2025-01-28 15:54:59 UTC,0.0,0.0,0.0
0FSV4S5BE19N48K0ZV806EBW80,Door 1 OPEN,2991705,2025-01-28 16:32:31 UTC,0.0,0.0,0.0
